provider_id,qr_rating,program_type,provider_type,provider_id_source,name_academy,name_early_head_start,name_head_start,name_learning_center,name_preschool,geo_region,name_other
92,2,Center,Child Care Center,license,,,,,,region_3,
197,2,Center,,synthetic,,,,,,region_3,
149,2,Center,Child Care Center,license,,,,,Preschool,region_3,
67,2,Center,Child Care Center,license,,,,,,region_3,
105,2,Group,Group Home Child Care,license,,,,,,region_3,
60,2,Group,Group Home Child Care,license,,,,,,region_3,
195,2,Group,,synthetic,,,,,,region_3,
111,2,Group,Group Home Child Care,license,,,,,,region_3,
155,2,Group,,synthetic,,,,,,region_3,
46,2,Center,Child Care Center,license,,,,,,region_3,
156,2,Group,Group Home Child Care,license,,,,,,region_3,
32,2,Center,Child Care Center,license,,,,,,region_3,
139,2,Center,Child Care Center,license,,,,,,region_6,
113,2,Group,Group Home Child Care,license,,,,,,region_6,
159,4,Group,Family Home Child Care,license,,,,,,region_1,
204,3,Center,Child Care Center,license,,,,,Preschool,region_2,
93,3,Group,Group Home Child Care,license,,,,,,region_3,
169,2,Group,Child Care Center,license,,,,Learning Center,,region_3,
147,2,Group,Group Home Child Care,license,,,,,,region_5,other
58,2,Group,Group Home Child Care,license,,,,,,region_3,
193,5,Group,Group Home Child Care,license,,,,,,region_4,
145,5,Group,,synthetic,,,,,,region_4,
150,5,Center,,synthetic,,,,,,region_4,
80,4,Center,Child Care Center,license,,,,,,region_4,
142,3,Center,Child Care Center,license,,,,,,region_4,
172,2,Center,Child Care Center,license,,,,,,region_3,
188,2,Group,,synthetic,,,,,,region_5,
212,3,Center,Child Care Center,license,,,,,,region_7,
122,2,Center,Child Care Center,license,,,,,,region_6,
200,2,Center,Child Care Center,license,,,Head Start,,,region_6,
110,4,Group,Group Home Child Care,license,,,,,,region_5,
21,4,Center,Child Care Center,license,,,,,Preschool,region_5,
203,4,Center,Child Care Center,license,,,,,,region_5,
2,4,Center,Child Care Center,license,,,,Learning Center,,region_5,
62,4,Center,Child Care Center,license,,,,,Preschool,region_5,
196,4,Center,Child Care Center,license,Academy,,,,,region_5,
19,4,Center,,synthetic,,,,,,region_5,
185,4,Center,,synthetic,,,,,,region_5,
143,4,Center,Child Care Center,license,,,,,,region_5,
173,3,Group,Group Home Child Care,license,,,,,,region_5,
194,3,Center,Child Care Center,license,Academy,,,,,region_5,
132,3,Group,Child Care Center,license,,,,,,region_5,
85,3,Center,Child Care Center,license,,,,,,region_5,
65,3,Center,Child Care Center,license,,,,,Preschool,region_5,
