provider_id,qr_rating,provider_service_type,license_type,total_licensed_capacity,licensed_home_capacity,licensed_infant_capacity,licensed_toddler_capacity,licensed_preschool_capacity,licensed_school_age_capacity,licensed_preschool_and_school_age_capacity,licensed_resident_camp_capacity,licensed_nyo_capacity,capacity_on_site,license_age_days,school_district_operated_program,cccap_fa_status_d1,cccap_authorization_status,head_start,accepts_cccap_on_site,accepting_new_children,openings_infant,openings_toddler,openings_preschool,openings_school_age,hours_of_operation,operating_hours_per_week,licensed_to_serve,has_documented_complaint,has_documented_stage_ii,has_documented_injury_investigation,has_documented_adverse_action,language_amharic,language_arabic,language_chinese,language_english,language_farsi,language_french,language_german,language_hebrew,language_hindi,language_italian,language_japanese,language_other,language_portuguese,language_punjabi,language_russian,language_sign_language,language_spanish,language_tagalog,language_ukrainian,language_urdu,need_cognitive_delays,need_diabetes,need_food_dietary,need_medical_special_procedures,need_none,need_physical_delays_limitations,need_respiratory_illness,need_seizure_disorders,need_social_emotional_behaviors,need_speech_communication,need_willing_to_support,geo_county
1921,4,Child Care Center,Permanent,16.0,,,,0.0,,16.0,,,16.0,1979,True,False,False,True,False,True,0.0,0.0,0.0,0.0,Monday 07:30 AM 02:30 PM Tuesday 07:30 AM 02:30 PM Wednesday 07:30 AM 02:30 PM Thursday 07:30 AM 02:30 PM,28.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_3
4174,4,Child Care Center,Permanent,48.0,,,,0.0,,48.0,,,48.0,3234,True,False,False,True,False,True,0.0,0.0,7.0,0.0,Monday 08:45 AM 03:45 PM Tuesday 08:45 AM 03:45 PM Wednesday 08:45 AM 03:45 PM Thursday 08:45 AM 03:45 PM,28.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_3
2857,4,Child Care Center,Permanent,64.0,,,,0.0,,64.0,,,64.0,3233,True,False,False,True,False,True,0.0,0.0,19.0,0.0,Monday 08:15 AM 03:00 PM Tuesday 08:15 AM 03:00 PM Wednesday 08:15 AM 03:00 PM Thursday 08:15 AM 03:00 PM,27.0,Preschool,True,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_3
358,4,Child Care Center,Permanent,188.0,0.0,16.0,34.0,108.0,30.0,0.0,0.0,0.0,188.0,6539,False,True,False,False,True,True,3.0,0.0,10.0,3.0,Monday 06:30 AM 06:00 PM Tuesday 06:30 AM 06:00 PM Wednesday 06:30 AM 06:00 PM Thursday 06:30 AM 06:00 PM Friday 06:30 AM 06:00 PM,57.5,"Infants, Toddlers, Preschool, School-age",False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,,county_46
4430,4,Child Care Center,Permanent,188.0,0.0,17.0,34.0,0.0,0.0,137.0,0.0,0.0,188.0,5176,False,True,True,False,True,True,0.0,0.0,3.0,0.0,Monday 06:30 AM 06:00 PM Tuesday 06:30 AM 06:00 PM Wednesday 06:30 AM 06:00 PM Thursday 06:30 AM 06:00 PM Friday 06:30 AM 06:00 PM,57.5,"Infants, Toddlers, Preschool",False,False,False,False,,,,English,,,,,,,,,,,,Sign Language,Spanish,,,,,,Food/Dietary,,,,,,Social Emotional Behaviors,,,county_1
833,4,Child Care Center,Permanent,164.0,0.0,16.0,48.0,0.0,0.0,100.0,0.0,0.0,164.0,7579,False,False,False,False,False,True,0.0,0.0,0.0,0.0,Monday 7:00 AM 5:30 PM Tuesday 7:00 AM 5:30 PM Wednesday 7:00 AM 5:30 PM Thursday 7:00 AM 5:30 PM Friday 7:00 AM 5:30 PM,52.5,"Infants, Toddlers, Preschool",False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_11
4245,4,Child Care Center,Permanent,186.0,0.0,18.0,34.0,0.0,0.0,134.0,0.0,0.0,186.0,5284,False,False,False,False,False,True,0.0,0.0,0.0,0.0,Monday 07:00 AM 06:00 PM Tuesday 07:00 AM 06:00 PM Wednesday 07:00 AM 06:00 PM Thursday 07:00 AM 06:00 PM Friday 07:00 AM 06:00 PM,55.0,"Infants, Toddlers, Preschool",True,False,True,False,,,,English,,,,,,,,,,,,,,,,,,Diabetes,Food/Dietary,Medical/Special Procedures,,,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,,county_41
529,4,Child Care Center,Permanent,192.0,0.0,18.0,28.0,0.0,0.0,146.0,0.0,0.0,192.0,6920,False,True,False,False,True,True,0.0,0.0,8.0,0.0,Monday 07:00 AM 06:00 PM Tuesday 07:00 AM 06:00 PM Wednesday 07:00 AM 06:00 PM Thursday 07:00 AM 06:00 PM Friday 07:00 AM 06:00 PM,55.0,"Infants, Toddlers, Preschool",False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
1381,4,Child Care Center,Permanent,180.0,0.0,8.0,34.0,0.0,0.0,138.0,0.0,0.0,180.0,7619,False,True,True,False,True,True,2.0,5.0,18.0,2.0,Monday 06:45 AM 05:30 PM Tuesday 06:45 AM 05:30 PM Wednesday 06:45 AM 05:30 PM Thursday 06:45 AM 05:30 PM Friday 06:45 AM 05:30 PM,53.75,"Infants, Toddlers, Mixed Preschool School Age",False,True,True,True,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,,Food/Dietary,,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_18
146,4,Child Care Center,Permanent,156.0,0.0,18.0,44.0,0.0,0.0,94.0,0.0,0.0,156.0,150,False,False,False,False,False,True,3.0,5.0,4.0,5.0,Monday 6:30 AM 5:30 PM Tuesday 6:30 AM 5:30 PM Wednesday 6:30 AM 5:30 PM Thursday 6:30 AM 5:30 PM Friday 6:30 AM 5:30 PM,55.0,"Infants, Toddlers, Preschool",True,True,True,True,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
