provider_id,qr_rating,facility_type,licensed_capacity,num_visits,ages_served,age_min,age_max,license_age_days,special_features,amenity_accredited_by_a_national_organization,amenity_field_trips,amenity_home_pick_up,amenity_provides_care_for_head_start,amenity_provides_nc_pre_k,amenity_provides_transportation,amenity_will_enroll_children_with_special_needs,ratio_1_year_olds_children,ratio_2_year_olds_children,ratio_3_year_olds_children,ratio_4_year_olds_children,ratio_5_12_year_olds_children,ratio_5_year_old_pre_schoolers_children,ratio_infants_children,restriction_daytime_care_only,restriction_enhanced_requirements,restriction_no_cooking,restriction_reduced_ratios,restriction_serves_no_more_than_two,visits_announced_announced
1120,5,CCC,36,6,3 through 5,3,5,2573,other,,,Home Pick Up,,,,Will enroll children with special needs,0,0,8,11,0,0,0,,,,reduced ratios,,
1862,5,CCC,20,6,3 through 5,3,5,86,other,,,,Provides care for head start,,,Will enroll children with special needs,0,0,10,13,0,0,0,,,,,,Announced
940,4,CCC,87,6,0 through 12,0,12,2492,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,Will enroll children with special needs,0,0,10,13,20,0,0,,,,,,
6474,3,CCC,72,8,0 through 12,0,12,1418,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/25 Children,,,,,,,Will enroll children with special needs,0,0,15,20,25,0,0,,,,,,
1171,1,FCC,8,6,0 through 12,0,12,5007,Additional Services & Amenities,,,,,,,,,,,,,,,,,,,,
1760,5,CCC,12,6,2 through 6,2,6,2665,other,Accredited by a national organization,,,,,,Will enroll children with special needs,0,0,9,12,19,0,0,,,,,,
5736,5,CCC,82,8,1 through 12,1,12,764,other,,,,,Provides NC Pre-K,,,5,8,9,12,19,14,4,daytime care only,,,reduced ratios,,Announced
6422,3,CCC,12,6,0 through 12,0,12,2285,other,,,,,,,Will enroll children with special needs,0,0,8,8,0,0,0,,,,,,Announced
1427,5,FCC,8,6,0 through 12,0,12,59,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,Announced
5984,5,CCC,50,7,1 through 12,1,12,430,other,,,,,,Provides transportation,Will enroll children with special needs,6,9,10,13,25,15,5,,,,,,Announced
2067,5,CCC,57,8,2 through 12,2,12,358,other,Accredited by a national organization,Field Trips,,,,Provides transportation,Will enroll children with special needs,0,0,9,10,12,0,0,,,,reduced ratios,,Announced
6236,3,CCC,12,7,0 through 12,0,12,87,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,,0,0,10,13,20,0,0,,,,,,Announced
385,1,FCC,8,7,0 through 12,0,12,6738,Additional Services & Amenities,,,,,,,,,,,,,,,,,,,,
4531,5,CCC,192,7,0 through 12,0,12,2776,other,Accredited by a national organization,,,,,,,0,0,10,13,20,0,0,,,,,,
2457,4,CCC,135,12,0 through 5,0,5,1215,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,,,Will enroll children with special needs,0,0,10,13,0,0,0,,,,,,
1836,3,FCC,8,8,1 through 12,1,12,1306,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,serves no more than two,Announced
2639,5,CCC,240,6,0 through 12,0,12,624,other,Accredited by a national organization,,,,,Provides transportation,,0,0,10,10,12,0,0,,,,,,
106,1,CCC,233,6,3 through 6,3,6,6738,other,,,,,,,Will enroll children with special needs,0,0,13,13,13,0,0,,,,,,
1343,5,CCC,140,8,0 through 12,0,12,2424,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/25 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,15,20,25,0,0,,,,,,
1946,5,CCC,199,15,0 through 12,0,12,575,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,Will enroll children with special needs,0,0,10,13,20,0,0,,,,,,
4276,5,FCC,8,6,0 through 12,0,12,3293,Additional Services & Amenities,,,,,,,,,,,,,,,,,,,,Announced
4450,5,CCC,144,12,0 through 12,0,12,2455,other,Accredited by a national organization,,,,,,Will enroll children with special needs,0,0,10,13,0,0,0,,,,,,Announced
6135,4,CCC,146,8,0 through 12,0,12,79,other,,Field Trips,,,,Provides transportation,,0,0,15,20,25,0,0,,,,,,Announced
5896,5,CCC,144,7,0 through 12,0,12,229,other,Accredited by a national organization,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,6,9,10,13,20,15,5,,,,,,Announced
3274,5,CCC,12,7,0 through 12,0,12,109,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/12 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/12 Children,,,,,,,Will enroll children with special needs,0,0,10,12,12,0,0,,,,,,Announced
3557,3,CCC,175,7,0 through 12,0,12,3300,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/25 Children,,,,,,,Will enroll children with special needs,0,0,15,20,25,0,0,,,,,,Announced
