provider_id,qr_rating,has_license_number,dhhs_matched,program_type,capacity,full_time_staff,part_time_staff,num_accreditations,dhhs_license_type,dhhs_capacity,dhhs_ages_from,dhhs_ages_to,dhhs_age_from_months,dhhs_age_to_months,dhhs_days_open,dhhs_days_open_count,dhhs_hours_from,dhhs_hours_to,dhhs_hours_from_minutes,dhhs_hours_to_minutes,dhhs_hours_open_minutes,dhhs_issue_year,accreditation_name,age_infants,age_preschool,age_school_age,age_toddlers,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday,info_accepts_child_care_subsidy,info_serves_children_with_special_needs,geo_county
472,1,True,True,Child Care Center,52.0,6.0,1.0,0,Child Care Center,52,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0530,1800,330.0,1080.0,750.0,2021,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_41
474,1,True,True,Child Care Center,52.0,8.0,3.0,0,Child Care Center,52,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1830,360.0,1110.0,750.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_9
1273,1,True,True,Family Child Care Home,12.0,1.0,4.0,0,Family Child Care Home II,12,6 WKS,11 YRS,1.38,132.0,MTWTHF,5,0700,1800,420.0,1080.0,660.0,2024,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_6
155,1,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,12 YRS,1.38,144.0,other,6,0000,2400,0.0,1440.0,1440.0,2023,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_1
497,2,True,True,Child Care Center,99.0,13.0,6.0,0,Child Care Center,99,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0630,1830,390.0,1110.0,720.0,2013,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_30
2385,2,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1700,420.0,1020.0,600.0,2020,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_12
1930,1,True,True,Family Child Care Home,12.0,1.0,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2013,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
1030,2,True,True,Child Care Center,180.0,12.0,22.0,0,Child Care Center,180,6 WKS,12 YRS,1.38,144.0,MTWTF,5,0600,1800,360.0,1080.0,720.0,1997,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_1
1164,2,True,True,Family Child Care Home,12.0,1.0,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHFS,6,0000,2400,0.0,1440.0,1440.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_22
2937,5,True,True,Family Child Care Home,12.0,,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2017,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_7
1696,2,True,True,Child Care Center,56.0,10.0,,0,Child Care Center,56,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0530,other,330.0,1290.0,960.0,2018,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_26
1018,1,True,True,Family Child Care Home,10.0,1.0,,0,Provisional Family Child Care Home I,10,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2025,,Infants,,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_3
