provider_id,qr_rating,program_type,age_6wk_17mo,age_18_23mo,age_0_23mo,age_2yr,age_3yr,age_4yr,age_5yr_preschool,age_5_15yr,licensed_capacity,enrollment_availability,accreditation_american_montessori_society_ams,accreditation_association_montessori_international_usa_ami_usa,accreditation_association_of_independent_maryland_schools_aims,accreditation_cognia_early_learning_accreditation,accreditation_maryland_accreditation,accreditation_middle_states_association_of_colleges_and_schools_commission_on_elementary_and_secondary_schools_msa_cess,accreditation_national_association_for_family_child_care_nafcc,accreditation_national_association_for_the_education_of_young_children_naeyc,accreditation_national_early_childhood_program_accreditation_necpa,achievement_accredited_program,achievement_asthma_and_allergy_friendly,achievement_cultural_and_linguistic_competency,achievement_eco_friendly_program,achievement_family_engagement,achievement_health_and_wellness,achievement_judy_center,achievement_military_child_care_in_your_neighborhood,achievement_quality_business_practices,accreditation_other
1588,1,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
444,1,Child Care Center,False,False,False,True,True,True,True,True,88,,,,,,,,,,,,,,,,,,,,
363,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5969,1,School-Age Only,False,False,False,False,False,False,False,True,75,,,,,,,,,,,,,,,,,,,,
1508,3,School-Age Only,False,False,False,False,False,False,False,True,75,,,,,,,,,,,,,,,,Health and Wellness,,,,
2951,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3100,1,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,,,,,
372,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4489,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4347,2,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
5436,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1379,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4532,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
1278,3,School-Age Only,False,False,False,False,False,False,False,True,90,,,,,,,,,,,,,,,,Health and Wellness,,,,
4459,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2868,1,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
2854,2,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
948,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2546,5,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
2141,1,Child Care Center,True,True,False,True,True,True,True,True,31,,,,,,,,,,,,,,,,,,,,
4875,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
3393,1,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4772,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
1359,4,Family Child Care,False,False,True,True,True,True,True,False,7,,,,,,,,,,,,,,,,,,,,
5805,1,Child Care Center,True,True,False,True,True,True,True,False,25,,,,,,,,,,,,,,,,,,,,
3538,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
1480,3,School-Age Only,False,False,False,False,False,False,False,True,60,,,,,,,,,,,,,,,,Health and Wellness,,,,
3295,1,Child Care Center,False,False,False,True,True,True,True,True,79,,,,,,,,,,,,,,,,,,,,
4303,3,Child Care Center,True,True,False,True,True,True,True,True,75,,,,,,,,,,,,,,,,,,,,
6526,1,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731,1,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,1,LOC,False,False,False,True,True,True,True,True,137,,,,,,,,,,,,,,,,,,,,
6683,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2468,2,Child Care Center,False,False,False,True,True,True,True,True,83,,,,,,,,,,,,,,,,,,,,
6628,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6254,3,School-Age Only,False,False,False,False,False,False,False,True,75,,,,,,,,,,,,,,,,Health and Wellness,,,,
124,2,Child Care Center,True,True,False,True,True,True,True,True,140,,,,,,,,,,,,,,,,,,,,
4597,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
2385,1,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,,,,,
191,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5601,3,School-Age Only,False,False,False,False,False,False,False,True,75,,,,,,,,,,,,,,,,Health and Wellness,,,,
3815,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
916,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6124,3,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,Health and Wellness,,,,
5661,2,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6908,1,Child Care Center,True,True,False,True,True,True,True,True,78,,,,,,,,,,,,,,,,,,,,
3212,2,LOC,False,False,False,True,True,True,True,False,35,,,,,,,,,,,,,,,,,,,,
2224,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
2128,2,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5051,1,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
5019,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
26,1,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
